Rank,Probability,Label,SOC_code,Occupation,,,,,,
1,0.0028,,29-1125,Recreational Therapists,,,,,,
2,0.003,,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",,,,,,
3,0.003,,11-9161,Emergency Management Directors,,,,,,"either ‘0’ (not computerisable) or ‘1’ (computerisable),"
4,0.0031,,21-1023,Mental Health and Substance Abuse Social Workers,,,,,,
5,0.0033,,29-1181,Audiologists,,,,,,
6,0.0035,,29-1122,Occupational Therapists,,,,,,
7,0.0035,,29-2091,Orthotists and Prosthetists,,,,,,
8,0.0035,,21-1022,Healthcare Social Workers,,,,,,
9,0.0036,,29-1022,Oral and Maxillofacial Surgeons,,,,,,
10,0.0036,,33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,,,,,,
11,0.0039,,29-1031,Dietitians and Nutritionists,,,,,,
12,0.0039,,11-9081,Lodging Managers,,,,,,
13,0.004,,27-2032,Choreographers,,,,,,
14,0.0041,,41-9031,Sales Engineers,,,,,,
15,0.0042,0,29-1060,Physicians and Surgeons,,,,,,
16,0.0042,,25-9031,Instructional Coordinators,,,,,,
17,0.0043,,19-3039,"Psychologists, All Other",,,,,,
18,0.0044,,33-1012,First-Line Supervisors of Police and Detectives,,,,,,
19,0.0044,0,29-1021,"Dentists, General",,,,,,
20,0.0044,,25-2021,"Elementary School Teachers, Except Special Education",,,,,,
21,0.0045,,19-1042,"Medical Scientists, Except Epidemiologists",,,,,,
22,0.0046,,11-9032,"Education Administrators, Elementary and Secondary School",,,,,,
23,0.0046,,29-1081,Podiatrists,,,,,,
24,0.0047,,19-3031,"Clinical, Counseling, and School Psychologists",,,,,,
25,0.0048,,21-1014,Mental Health Counselors,,,,,,
26,0.0049,,51-6092,Fabric and Apparel Patternmakers,,,,,,
27,0.0055,,27-1027,Set and Exhibit Designers,,,,,,
28,0.0055,,11-3121,Human Resources Managers,,,,,,
29,0.0061,,39-9032,Recreation Workers,,,,,,
30,0.0063,,11-3131,Training and Development Managers,,,,,,
31,0.0064,,29-1127,Speech-Language Pathologists,,,,,,
32,0.0065,,15-1121,Computer Systems Analysts,,,,,,
33,0.0067,0,11-9151,Social and Community Service Managers,,,,,,
34,0.0068,,25-4012,Curators,,,,,,
35,0.0071,,29-9091,Athletic Trainers,,,,,,
36,0.0073,,11-9111,Medical and Health Services Managers,,,,,,
37,0.0074,0,25-2011,"Preschool Teachers, Except Special Education",,,,,,
38,0.0075,,25-9021,Farm and Home Management Advisors,,,,,,
39,0.0077,,19-3091,Anthropologists and Archeologists,,,,,,
40,0.0077,,25-2054,"Special Education Teachers, Secondary School",,,,,,
41,0.0078,,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",,,,,,
42,0.0081,0,21-2011,Clergy,,,,,,
43,0.0081,,19-1032,Foresters,,,,,,
44,0.0085,,21-1012,"Educational, Guidance, School, and Vocational Counselors",,,,,,
45,0.0088,,25-2032,"Career/Technical Education Teachers, Secondary School",,,,,,
46,0.009,0,29-1111,Registered Nurses,,,,,,
47,0.0094,,21-1015,Rehabilitation Counselors,,,,,,
48,0.0095,,25-3999,"Teachers and Instructors, All Other",,,,,,
49,0.0095,,19-4092,Forensic Science Technicians,,,,,,
50,0.01,,39-5091,"Makeup Artists, Theatrical and Performance",,,,,,
51,0.01,,17-2121,Marine Engineers and Naval Architects,,,,,,
52,0.01,,11-9033,"Education Administrators, Postsecondary",,,,,,
53,0.011,,17-2141,Mechanical Engineers,,,,,,
54,0.012,,29-1051,Pharmacists,,,,,,
55,0.012,,13-1081,Logisticians,,,,,,
56,0.012,,19-1022,Microbiologists,,,,,,
57,0.012,,19-3032,Industrial-Organizational Psychologists,,,,,,
58,0.013,,27-2022,Coaches and Scouts,,,,,,
59,0.013,,11-2022,Sales Managers,,,,,,
60,0.014,,19-2043,Hydrologists,,,,,,
61,0.014,,11-2021,Marketing Managers,,,,,,
62,0.014,0,21-1013,Marriage and Family Therapists,,,,,,
63,0.014,,17-2199,"Engineers, All Other",,,,,,
64,0.014,,13-1151,Training and Development Specialists,,,,,,
65,0.014,,43-1011,First-Line Supervisors of Office and Administrative Support Workers,,,,,,
66,0.015,,19-1029,"Biological Scientists, All Other",,,,,,
67,0.015,,11-2031,Public Relations and Fundraising Managers,,,,,,
68,0.015,,27-1014,Multimedia Artists and Animators,,,,,,
69,0.015,,15-1111,Computer and Information Research Scientists,,,,,,
70,0.015,0,11-1011,Chief Executives,,,,,,
71,0.015,0,11-9031,"Education Administrators, Preschool and Childcare Center/Program",,,,,,
72,0.015,,27-2041,Music Directors and Composers,,,,,,
73,0.016,,51-1011,First-Line Supervisors of Production and Operating Workers,,,,,,
74,0.016,,41-3031,"Securities, Commodities, and Financial Services Sales Agents",,,,,,
75,0.016,,19-1031,Conservation Scientists,,,,,,
76,0.016,,25-2053,"Special Education Teachers, Middle School",,,,,,
77,0.017,,17-2041,Chemical Engineers,,,,,,
78,0.017,,11-9041,Architectural and Engineering Managers,,,,,,
79,0.017,,17-2011,Aerospace Engineers,,,,,,
80,0.018,,11-9121,Natural Sciences Managers,,,,,,
81,0.018,,17-2081,Environmental Engineers,,,,,,
82,0.018,,17-1011,"Architects, Except Landscape and Naval",,,,,,
83,0.018,,31-2021,Physical Therapist Assistants,,,,,,
84,0.019,0,17-2051,Civil Engineers,,,,,,
85,0.02,,29-1199,"Health Diagnosing and Treating Practitioners, All Other",,,,,,
86,0.021,,19-1013,Soil and Plant Scientists,,,,,,
87,0.021,,19-2032,Materials Scientists,,,,,,
88,0.021,,17-2131,Materials Engineers,,,,,,
89,0.021,0,27-1022,Fashion Designers,,,,,,
90,0.021,,29-1123,Physical Therapists,,,,,,
91,0.021,,27-4021,Photographers,,,,,,
92,0.022,,27-2012,Producers and Directors,,,,,,
93,0.022,,27-1025,Interior Designers,,,,,,
94,0.023,,29-1023,Orthodontists,,,,,,
95,0.023,,27-1011,Art Directors,,,,,,
96,0.025,,33-1011,First-Line Supervisors of Correctional Officers,,,,,,
97,0.025,,21-2021,"Directors, Religious Activities and Education",,,,,,
98,0.025,,17-2072,"Electronics Engineers, Except Computer",,,,,,
99,0.027,,19-1021,Biochemists and Biophysicists,,,,,,
100,0.027,,29-1011,Chiropractors,,,,,,
101,0.028,,31-2011,Occupational Therapy Assistants,,,,,,
102,0.028,,21-1021,"Child, Family, and School Social Workers",,,,,,
103,0.028,,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",,,,,,
104,0.029,,17-2112,Industrial Engineers,,,,,,
105,0.029,,53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,,,,,,
106,0.029,,29-2056,Veterinary Technologists and Technicians,,,,,,
107,0.03,,11-3051,Industrial Production Managers,,,,,,
108,0.03,,17-3026,Industrial Engineering Technicians,,,,,,
109,0.03,,15-1142,Network and Computer Systems Administrators,,,,,,
110,0.03,,15-1141,Database Administrators,,,,,,
111,0.03,,11-3061,Purchasing Managers,,,,,,
112,0.032,,25-1000,Postsecondary Teachers,,,,,,
113,0.033,,19-2041,"Environmental Scientists and Specialists, Including Health",,,,,,
114,0.033,0,21-1011,Substance Abuse and Behavioral Disorder Counselors,,,,,,
115,0.035,0,23-1011,Lawyers,,,,,,
116,0.035,,27-1012,Craft Artists,,,,,,
117,0.035,,15-2031,Operations Research Analysts,,,,,,
118,0.035,,11-3021,Computer and Information Systems Managers,,,,,,
119,0.037,,27-1021,Commercial and Industrial Designers,,,,,,
120,0.037,,17-2031,Biomedical Engineers,,,,,,
121,0.037,0,13-1121,"Meeting, Convention, and Event Planners",,,,,,
122,0.038,,29-1131,Veterinarians,,,,,,
123,0.038,,27-3043,Writers and Authors,,,,,,
124,0.039,,11-2011,Advertising and Promotions Managers,,,,,,
125,0.039,,19-3094,Political Scientists,,,,,,
126,0.04,,13-2071,Credit Counselors,,,,,,
127,0.04,,19-3099,"Social Scientists and Related Workers, All Other",,,,,,
128,0.041,,19-2011,Astronomers,,,,,,
129,0.041,,53-5031,Ship Engineers,,,,,,
130,0.042,,15-1132,"Software Developers, Applications",,,,,,
131,0.042,,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",,,,,,
132,0.043,,29-2053,Psychiatric Technicians,,,,,,
133,0.045,0,17-1012,Landscape Architects,,,,,,
134,0.045,,21-1091,Health Educators,,,,,,
135,0.047,,15-2021,Mathematicians,,,,,,
136,0.047,,27-1023,Floral Designers,,,,,,
137,0.047,,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",,,,,,
138,0.048,,33-2022,Forest Fire Inspectors and Prevention Specialists,,,,,,
139,0.049,,29-2041,Emergency Medical Technicians and Paramedics,,,,,,
140,0.055,,27-3041,Editors,,,,,,
141,0.055,,29-1024,Prosthodontists,,,,,,
142,0.055,0,29-9799,"Healthcare Practitioners and Technical Workers, All Other",,,,,,
143,0.057,,39-7012,Travel Guides,,,,,,
144,0.058,,29-2061,Licensed Practical and Licensed Vocational Nurses,,,,,,
145,0.059,,19-3041,Sociologists,,,,,,
146,0.06,,23-1022,"Arbitrators, Mediators, and Conciliators",,,,,,
147,0.061,,19-1011,Animal Scientists,,,,,,
148,0.064,,39-9041,Residential Advisors,,,,,,
149,0.066,,53-1011,Aircraft Cargo Handling Supervisors,,,,,,
150,0.066,,29-1126,Respiratory Therapists,,,,,,
151,0.067,,27-3021,Broadcast News Analysts,,,,,,
152,0.069,,11-3031,Financial Managers,,,,,,
153,0.07,,17-2161,Nuclear Engineers,,,,,,
154,0.071,,11-9021,Construction Managers,,,,,,
155,0.074,,27-2042,Musicians and Singers,,,,,,
156,0.075,,41-1012,First-Line Supervisors of Non-Retail Sales Workers,,,,,,
157,0.076,,39-1021,First-Line Supervisors of Personal Service Workers,,,,,,
158,0.077,,19-1012,Food Scientists and Technologists,,,,,,
159,0.08,0,13-1041,Compliance Officers,,,,,,
160,0.08,,33-3031,Fish and Game Wardens,,,,,,
161,0.082,,27-1024,Graphic Designers,,,,,,
162,0.083,,11-9051,Food Service Managers,,,,,,
163,0.084,0,39-9011,Childcare Workers,,,,,,
164,0.085,,39-9031,Fitness Trainers and Aerobics Instructors,,,,,,
165,0.091,,11-9071,Gaming Managers,,,,,,
166,0.097,,49-9051,Electrical Power-Line Installers and Repairers,,,,,,
167,0.098,,33-3051,Police and Sheriff's Patrol Officers,,,,,,
168,0.099,,41-3041,Travel Agents,,,,,,
169,0.1,0,35-1011,Chefs and Head Cooks,,,,,,
170,0.1,,39-2011,Animal Trainers,,,,,,
171,0.1,,27-3011,Radio and Television Announcers,,,,,,
172,0.1,0,17-2071,Electrical Engineers,,,,,,
173,0.1,,19-2031,Chemists,,,,,,
174,0.1,,29-2054,Respiratory Therapy Technicians,,,,,,
175,0.1,0,19-2012,Physicists,,,,,,
176,0.11,0,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",,,,,,
177,0.11,,27-3022,Reporters and Correspondents,,,,,,
178,0.11,,53-2021,Air Traffic Controllers,,,,,,
179,0.13,,27-2031,Dancers,,,,,,
180,0.13,,29-2033,Nuclear Medicine Technologists,,,,,,
181,0.13,,15-1133,"Software Developers, Systems Software",,,,,,
182,0.13,,13-1111,Management Analysts,,,,,,
183,0.13,,29-2051,Dietetic Technicians,,,,,,
184,0.13,,19-3051,Urban and Regional Planners,,,,,,
185,0.13,,21-1093,Social and Human Service Assistants,,,,,,
186,0.13,,25-3021,Self-Enrichment Education Teachers,,,,,,
187,0.13,,27-4014,Sound Engineering Technicians,,,,,,
188,0.14,,29-1041,Optometrists,,,,,,
189,0.14,,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",,,,,,
190,0.14,,29-1071,Physician Assistants,,,,,,
191,0.15,,25-2012,"Kindergarten Teachers, Except Special Education",,,,,,
192,0.15,,47-2111,Electricians,,,,,,
193,0.16,,17-2171,Petroleum Engineers,,,,,,
194,0.16,,43-9031,Desktop Publishers,,,,,,
195,0.16,,11-1021,General and Operations Managers,,,,,,
196,0.17,,29-9011,Occupational Health and Safety Specialists,,,,,,
197,0.17,,33-2011,Firefighters,,,,,,
198,0.17,,13-2061,Financial Examiners,,,,,,
199,0.17,,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,,,,,,
200,0.17,,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",,,,,,
201,0.18,,27-3031,Public Relations Specialists,,,,,,
202,0.18,,49-9092,Commercial Divers,,,,,,
203,0.18,,49-9095,Manufactured Building and Mobile Home Installers,,,,,,
204,0.18,,53-2011,"Airline Pilots, Copilots, and Flight Engineers",,,,,,
205,0.19,,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,,,,,,
206,0.2,,19-1041,Epidemiologists,,,,,,
207,0.2,,39-4831,"Funeral Service Managers, Directors, Morticians, and Undertakers",,,,,,
208,0.21,,15-1179,"Information Security Analysts, Web Developers, and Computer Network Architects",,,,,,
209,0.21,,15-2011,Actuaries,,,,,,
210,0.21,,33-9011,Animal Control Workers,,,,,,
211,0.21,0,39-6012,Concierges,,,,,,
212,0.22,,15-1799,"Computer Occupations, All Other",,,,,,
213,0.22,,15-2041,Statisticians,,,,,,
214,0.22,,17-2061,Computer Hardware Engineers,,,,,,
215,0.23,,19-3022,Survey Researchers,,,,,,
216,0.23,,13-1199,"Business Operations Specialists, All Other",,,,,,
217,0.23,,13-2051,Financial Analysts,,,,,,
218,0.23,,29-2037,Radiologic Technologists and Technicians,,,,,,
219,0.23,,29-2031,Cardiovascular Technologists and Technicians,,,,,,
220,0.24,,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",,,,,,
221,0.24,,17-3029,"Engineering Technicians, Except Drafters, All Other",,,,,,
222,0.25,,19-3092,Geographers,,,,,,
223,0.25,,29-9012,Occupational Health and Safety Technicians,,,,,,
224,0.25,,21-1092,Probation Officers and Correctional Treatment Specialists,,,,,,
225,0.25,,17-3025,Environmental Engineering Technicians,,,,,,
226,0.25,,11-9199,"Managers, All Other",,,,,,
227,0.25,,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",,,,,,
228,0.25,,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",,,,,,
229,0.26,,25-2023,"Career/Technical Education Teachers, Middle School",,,,,,
230,0.27,,53-5021,"Captains, Mates, and Pilots of Water Vessels",,,,,,
231,0.27,,31-2012,Occupational Therapy Aides,,,,,,
232,0.27,,49-9062,Medical Equipment Repairers,,,,,,
233,0.28,,41-1011,First-Line Supervisors of Retail Sales Workers,,,,,,
234,0.28,0,27-2021,Athletes and Sports Competitors,,,,,,
235,0.28,,39-1011,Gaming Supervisors,,,,,,
236,0.29,,39-5094,Skincare Specialists,,,,,,
237,0.29,,13-1022,"Wholesale and Retail Buyers, Except Farm Products",,,,,,
238,0.3,,19-4021,Biological Technicians,,,,,,
239,0.3,,31-9092,Medical Assistants,,,,,,
240,0.3,0,19-1023,Zoologists and Wildlife Biologists,,,,,,
241,0.3,,35-2013,"Cooks, Private Household",,,,,,
242,0.31,,13-1078,"Human Resources, Training, and Labor Relations Specialists, All Other",,,,,,
243,0.31,,33-9021,Private Detectives and Investigators,,,,,,
244,0.31,,27-4032,Film and Video Editors,,,,,,
245,0.33,,13-2099,"Financial Specialists, All Other",,,,,,
246,0.34,,33-3021,Detectives and Criminal Investigators,,,,,,
247,0.34,,29-2055,Surgical Technologists,,,,,,
248,0.34,,29-1124,Radiation Therapists,,,,,,
249,0.35,0,47-2152,"Plumbers, Pipefitters, and Steamfitters",,,,,,
250,0.35,0,53-2031,Flight Attendants,,,,,,
251,0.35,,29-2032,Diagnostic Medical Sonographers,,,,,,
252,0.36,,33-3011,Bailiffs,,,,,,
253,0.36,,51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",,,,,,
254,0.36,,49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",,,,,,
255,0.37,,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",,,,,,
256,0.37,,53-7061,Cleaners of Vehicles and Equipment,,,,,,
257,0.37,,39-4021,Funeral Attendants,,,,,,
258,0.37,,47-5081,Helpers-Extraction Workers,,,,,,
259,0.37,,27-2011,Actors,,,,,,
260,0.37,,53-7111,Mine Shuttle Car Operators,,,,,,
261,0.38,,49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",,,,,,
262,0.38,1,17-1022,Surveyors,,,,,,
263,0.38,,17-3027,Mechanical Engineering Technicians,,,,,,
264,0.38,,53-7064,"Packers and Packagers, Hand",,,,,,
265,0.38,,27-3091,Interpreters and Translators,,,,,,
266,0.39,,31-1011,Home Health Aides,,,,,,
267,0.39,,51-6093,Upholsterers,,,,,,
268,0.39,,47-4021,Elevator Installers and Repairers,,,,,,
269,0.39,,43-3041,Gaming Cage Workers,,,,,,
270,0.39,,25-9011,Audio-Visual and Multimedia Collections Specialists,,,,,,
271,0.4,0,23-1023,"Judges, Magistrate Judges, and Magistrates",,,,,,
272,0.4,,49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",,,,,,
273,0.4,,29-2799,"Health Technologists and Technicians, All Other",,,,,,
274,0.41,,45-2041,"Graders and Sorters, Agricultural Products",,,,,,
275,0.41,,51-2041,Structural Metal Fabricators and Fitters,,,,,,
276,0.41,1,23-1012,Judicial Law Clerks,,,,,,
277,0.41,,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",,,,,,
278,0.42,,19-4093,Forest and Conservation Technicians,,,,,,
279,0.42,,53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",,,,,,
280,0.43,,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",,,,,,
281,0.43,,19-2099,"Physical Scientists, All Other",,,,,,
282,0.43,0,19-3011,Economists,,,,,,
283,0.44,,19-3093,Historians,,,,,,
284,0.45,,51-9082,Medical Appliance Technicians,,,,,,
285,0.46,,43-4031,"Court, Municipal, and License Clerks",,,,,,
286,0.47,,13-1141,"Compensation, Benefits, and Job Analysis Specialists",,,,,,
287,0.47,,31-1013,Psychiatric Aides,,,,,,
288,0.47,,29-2012,Medical and Clinical Laboratory Technicians,,,,,,
289,0.48,,33-2021,Fire Inspectors and Investigators,,,,,,
290,0.48,,17-3021,Aerospace Engineering and Operations Technicians,,,,,,
291,0.48,,27-1026,Merchandise Displayers and Window Trimmers,,,,,,
292,0.48,,47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",,,,,,
293,0.48,,15-1131,Computer Programmers,,,,,,
294,0.49,,33-9091,Crossing Guards,,,,,,
295,0.49,,17-2021,Agricultural Engineers,,,,,,
296,0.49,,47-5061,"Roof Bolters, Mining",,,,,,
297,0.49,,49-9052,Telecommunications Line Installers and Repairers,,,,,,
298,0.49,,43-5031,"Police, Fire, and Ambulance Dispatchers",,,,,,
299,0.5,,53-7033,"Loading Machine Operators, Underground Mining",,,,,,
300,0.5,,49-9799,"Installation, Maintenance, and Repair Workers, All Other",,,,,,
301,0.5,,23-2091,Court Reporters,,,,,,
302,0.51,,41-9011,Demonstrators and Product Promoters,,,,,,
303,0.51,,31-9091,Dental Assistants,,,,,,
304,0.52,,51-6041,Shoe and Leather Workers and Repairers,,,,,,
305,0.52,,17-3011,Architectural and Civil Drafters,,,,,,
306,0.53,,47-5012,"Rotary Drill Operators, Oil and Gas",,,,,,
307,0.53,,47-4041,Hazardous Materials Removal Workers,,,,,,
308,0.54,,39-4011,Embalmers,,,,,,
309,0.54,,47-5041,Continuous Mining Machine Operators,,,,,,
310,0.54,,39-1012,Slot Supervisors,,,,,,
311,0.54,,31-9011,Massage Therapists,,,,,,
312,0.54,,41-3011,Advertising Sales Agents,,,,,,
313,0.55,,49-3022,Automotive Glass Installers and Repairers,,,,,,
314,0.55,,53-2012,Commercial Pilots,,,,,,
315,0.55,,43-4051,Customer Service Representatives,,,,,,
316,0.55,,27-4011,Audio and Video Equipment Technicians,,,,,,
317,0.56,,25-9041,Teacher Assistants,,,,,,
318,0.57,,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",,,,,,
319,0.57,,19-4031,Chemical Technicians,,,,,,
320,0.57,,47-3015,"Helpers-Pipelayers, Plumbers, Pipefitters, and Steamfitters",,,,,,
321,0.57,1,13-1051,Cost Estimators,,,,,,
322,0.57,,33-3052,Transit and Railroad Police,,,,,,
323,0.57,,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",,,,,,
324,0.58,,13-2052,Personal Financial Advisors,,,,,,
325,0.59,,49-9044,Millwrights,,,,,,
326,0.59,,25-4013,Museum Technicians and Conservators,,,,,,
327,0.59,,47-5042,Mine Cutting and Channeling Machine Operators,,,,,,
328,0.59,0,11-3071,"Transportation, Storage, and Distribution Managers",,,,,,
329,0.59,,49-3092,Recreational Vehicle Service Technicians,,,,,,
330,0.59,,49-3023,Automotive Service Technicians and Mechanics,,,,,,
331,0.6,,33-3012,Correctional Officers and Jailers,,,,,,
332,0.6,,27-4031,"Camera Operators, Television, Video, and Motion Picture",,,,,,
333,0.6,,51-3023,Slaughterers and Meat Packers,,,,,,
334,0.61,,49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",,,,,,
335,0.61,,31-2022,Physical Therapist Aides,,,,,,
336,0.61,,39-3092,Costume Attendants,,,,,,
337,0.61,1,13-1161,Market Research Analysts and Marketing Specialists,,,,,,
338,0.61,,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,,,,,,
339,0.61,,51-8031,Water and Wastewater Treatment Plant and System Operators,,,,,,
340,0.61,,19-4099,"Life, Physical, and Social Science Technicians, All Other",,,,,,
341,0.61,,51-3093,Food Cooking Machine Operators and Tenders,,,,,,
342,0.61,,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",,,,,,
343,0.62,1,53-5022,Motorboat Operators,,,,,,
344,0.62,,47-2082,Tapers,,,,,,
345,0.62,,47-2151,Pipelayers,,,,,,
346,0.63,,19-2042,"Geoscientists, Except Hydrologists and Geographers",,,,,,
347,0.63,,49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",,,,,,
348,0.63,,31-9799,"Healthcare Support Workers, All Other",,,,,,
349,0.63,,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,,,,,,
350,0.63,,47-4011,Construction and Building Inspectors,,,,,,
351,0.64,,51-9031,"Cutters and Trimmers, Hand",,,,,,
352,0.64,,49-9071,"Maintenance and Repair Workers, General",,,,,,
353,0.64,,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",,,,,,
354,0.64,,43-5081,Stock Clerks and Order Fillers,,,,,,
355,0.64,,51-8012,Power Distributors and Dispatchers,,,,,,
356,0.64,,47-2132,"Insulation Workers, Mechanical",,,,,,
357,0.65,,19-4061,Social Science Research Assistants,,,,,,
358,0.65,,51-4041,Machinists,,,,,,
359,0.65,,15-1150,Computer Support Specialists,,,,,,
360,0.65,,25-4021,Librarians,,,,,,
