Rank,Probability,Label,SOC_code,Occupation,,,,,,
361,0.65,,49-2097,Electronic Home Entertainment Equipment Installers and Repairers,,,,,,
362,0.65,,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",,,,,,
363,0.65,,53-7041,Hoist and Winch Operators,,,,,,
364,0.66,,37-2021,Pest Control Workers,,,,,,
365,0.66,,51-9198,Helpers-Production Workers,,,,,,
366,0.66,,43-9111,Statistical Assistants,,,,,,
367,0.66,,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",,,,,,
368,0.66,,49-3051,Motorboat Mechanics and Service Technicians,,,,,,
369,0.67,,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",,,,,,
370,0.67,,51-4071,Foundry Mold and Coremakers,,,,,,
371,0.67,,19-2021,Atmospheric and Space Scientists,,,,,,
372,0.67,1,53-3021,"Bus Drivers, Transit and Intercity",,,,,,
373,0.67,,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",,,,,,
374,0.67,,49-9041,Industrial Machinery Mechanics,,,,,,
375,0.68,,43-5052,Postal Service Mail Carriers,,,,,,
376,0.68,,47-5071,"Roustabouts, Oil and Gas",,,,,,
377,0.68,,47-2011,Boilermakers,,,,,,
378,0.68,,17-3013,Mechanical Drafters,,,,,,
379,0.68,,29-2021,Dental Hygienists,,,,,,
380,0.69,1,53-3033,Light Truck or Delivery Services Drivers,,,,,,
381,0.69,0,37-2012,Maids and Housekeeping Cleaners,,,,,,
382,0.69,,51-9122,"Painters, Transportation Equipment",,,,,,
383,0.7,,43-4061,"Eligibility Interviewers, Government Programs",,,,,,
384,0.7,,49-3093,Tire Repairers and Changers,,,,,,
385,0.7,,51-3092,Food Batchmakers,,,,,,
386,0.7,,49-2091,Avionics Technicians,,,,,,
387,0.71,,49-3011,Aircraft Mechanics and Service Technicians,,,,,,
388,0.71,,53-2022,Airfield Operations Specialists,,,,,,
389,0.71,,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",,,,,,
390,0.71,,47-4799,"Construction and Related Workers, All Other",,,,,,
391,0.71,,29-2081,"Opticians, Dispensing",,,,,,
392,0.71,,51-6011,Laundry and Dry-Cleaning Workers,,,,,,
393,0.72,,39-3091,Amusement and Recreation Attendants,,,,,,
394,0.72,,31-9095,Pharmacy Aides,,,,,,
395,0.72,,47-3016,Helpers-Roofers,,,,,,
396,0.72,,53-7121,"Tank Car, Truck, and Ship Loaders",,,,,,
397,0.72,,49-9031,Home Appliance Repairers,,,,,,
398,0.72,,47-2031,Carpenters,,,,,,
399,0.72,,27-3012,Public Address System and Other Announcers,,,,,,
400,0.73,,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",,,,,,
401,0.73,,11-3011,Administrative Services Managers,,,,,,
402,0.73,,47-2121,Glaziers,,,,,,
403,0.73,,51-2021,"Coil Winders, Tapers, and Finishers",,,,,,
404,0.73,,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,,,,,,
405,0.74,,49-2011,"Computer, Automated Teller, and Office Machine Repairers",,,,,,
406,0.74,,39-9021,Personal Care Aides,,,,,,
407,0.74,,27-4012,Broadcast Technicians,,,,,,
408,0.74,,47-3013,Helpers-Electricians,,,,,,
409,0.75,,11-9131,Postmasters and Mail Superintendents,,,,,,
410,0.75,,47-2044,Tile and Marble Setters,,,,,,
411,0.75,,47-2141,"Painters, Construction and Maintenance",,,,,,
412,0.75,,53-6061,"Transportation Attendants, Except Flight Attendants",,,,,,
413,0.75,1,17-3022,Civil Engineering Technicians,,,,,,
414,0.75,,49-3041,Farm Equipment Mechanics and Service Technicians,,,,,,
415,0.76,,25-4011,Archivists,,,,,,
416,0.76,,51-9011,Chemical Equipment Operators and Tenders,,,,,,
417,0.76,,49-2092,"Electric Motor, Power Tool, and Related Repairers",,,,,,
418,0.76,,45-4021,Fallers,,,,,,
419,0.77,,19-4091,"Environmental Science and Protection Technicians, Including Health",,,,,,
420,0.77,,49-9094,Locksmiths and Safe Repairers,,,,,,
421,0.77,,37-3013,Tree Trimmers and Pruners,,,,,,
422,0.77,,35-3011,Bartenders,,,,,,
423,0.77,,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",,,,,,
424,0.77,1,35-9021,Dishwashers,,,,,,
425,0.77,0,45-3021,Hunters and Trappers,,,,,,
426,0.78,,31-9093,Medical Equipment Preparers,,,,,,
427,0.78,,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",,,,,,
428,0.78,,43-9011,Computer Operators,,,,,,
429,0.78,,51-8092,Gas Plant Operators,,,,,,
430,0.79,,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",,,,,,
431,0.79,,53-3032,Heavy and Tractor-Trailer Truck Drivers,,,,,,
432,0.79,,39-5093,Shampooers,,,,,,
433,0.79,,47-2081,Drywall and Ceiling Tile Installers,,,,,,
434,0.79,,49-9098,"Helpers-Installation, Maintenance, and Repair Workers",,,,,,
435,0.79,,49-3052,Motorcycle Mechanics,,,,,,
436,0.79,,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",,,,,,
437,0.79,,45-4022,Logging Equipment Operators,,,,,,
438,0.79,,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",,,,,,
439,0.8,,39-5011,Barbers,,,,,,
440,0.8,,47-5011,"Derrick Operators, Oil and Gas",,,,,,
441,0.81,1,35-2011,"Cooks, Fast Food",,,,,,
442,0.81,,43-9022,Word Processors and Typists,,,,,,
443,0.81,1,17-3012,Electrical and Electronics Drafters,,,,,,
444,0.81,,17-3024,Electro-Mechanical Technicians,,,,,,
445,0.81,,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",,,,,,
446,0.81,,11-9141,"Property, Real Estate, and Community Association Managers",,,,,,
447,0.81,,43-6013,Medical Secretaries,,,,,,
448,0.81,,51-6021,"Pressers, Textile, Garment, and Related Materials",,,,,,
449,0.82,,51-2031,Engine and Other Machine Assemblers,,,,,,
450,0.82,,49-2098,Security and Fire Alarm Systems Installers,,,,,,
451,0.82,,49-9045,"Refractory Materials Repairers, Except Brickmasons",,,,,,
452,0.82,,39-2021,Nonfarm Animal Caretakers,,,,,,
453,0.82,1,47-2211,Sheet Metal Workers,,,,,,
454,0.82,,47-2072,Pile-Driver Operators,,,,,,
455,0.82,,47-2021,Brickmasons and Blockmasons,,,,,,
456,0.83,,45-3011,Fishers and Related Fishing Workers,,,,,,
457,0.83,,47-2221,Structural Iron and Steel Workers,,,,,,
458,0.83,,53-4021,"Railroad Brake, Signal, and Switch Operators",,,,,,
459,0.83,,53-4031,Railroad Conductors and Yardmasters,,,,,,
460,0.83,,35-2012,"Cooks, Institution and Cafeteria",,,,,,
461,0.83,,53-5011,Sailors and Marine Oilers,,,,,,
462,0.83,,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",,,,,,
463,0.83,,47-3011,"Helpers-Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",,,,,,
464,0.83,,47-4091,Segmental Pavers,,,,,,
465,0.83,,47-2131,"Insulation Workers, Floor, Ceiling, and Wall",,,,,,
466,0.83,,51-5112,Printing Press Operators,,,,,,
467,0.83,,53-6031,Automotive and Watercraft Service Attendants,,,,,,
468,0.83,,47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,,,,,,
469,0.83,,39-6011,Baggage Porters and Bellhops,,,,,,
470,0.83,,41-2012,Gaming Change Persons and Booth Cashiers,,,,,,
471,0.83,,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",,,,,,
472,0.83,,47-2071,"Paving, Surfacing, and Tamping Equipment Operators",,,,,,
473,0.84,,51-4111,Tool and Die Makers,,,,,,
474,0.84,,17-3023,Electrical and Electronics Engineering Technicians,,,,,,
475,0.84,,47-2161,Plasterers and Stucco Masons,,,,,,
476,0.84,,51-4192,"Layout Workers, Metal and Plastic",,,,,,
477,0.84,,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",,,,,,
478,0.84,,33-9032,Security Guards,,,,,,
479,0.84,,51-6052,"Tailors, Dressmakers, and Custom Sewers",,,,,,
480,0.84,,53-7073,Wellhead Pumpers,,,,,,
481,0.84,,43-9081,Proofreaders and Copy Markers,,,,,,
482,0.84,,33-3041,Parking Enforcement Workers,,,,,,
483,0.85,,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",,,,,,
484,0.85,,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",,,,,,
485,0.85,1,43-5041,"Meter Readers, Utilities",,,,,,
486,0.85,,51-8013,Power Plant Operators,,,,,,
487,0.85,,51-8091,Chemical Plant and System Operators,,,,,,
488,0.85,,47-5021,"Earth Drillers, Except Oil and Gas",,,,,,
489,0.85,,19-4051,Nuclear Technicians,,,,,,
490,0.86,,43-6011,Executive Secretaries and Executive Administrative Assistants,,,,,,
491,0.86,,51-8099,"Plant and System Operators, All Other",,,,,,
492,0.86,,35-3041,"Food Servers, Nonrestaurant",,,,,,
493,0.86,,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",,,,,,
494,0.86,,53-4041,Subway and Streetcar Operators,,,,,,
495,0.86,,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,,,,,,
496,0.86,,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",,,,,,
497,0.86,,41-9022,Real Estate Sales Agents,,,,,,
498,0.86,1,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",,,,,,
499,0.86,,49-9043,"Maintenance Workers, Machinery",,,,,,
500,0.86,,43-4021,Correspondence Clerks,,,,,,
501,0.87,,45-2090,Miscellaneous Agricultural Workers,,,,,,
502,0.87,,45-4011,Forest and Conservation Workers,,,,,,
503,0.87,,51-4052,"Pourers and Casters, Metal",,,,,,
504,0.87,,47-2041,Carpet Installers,,,,,,
505,0.87,,47-2142,Paperhangers,,,,,,
506,0.87,,13-1021,"Buyers and Purchasing Agents, Farm Products",,,,,,
507,0.87,,51-7021,Furniture Finishers,,,,,,
508,0.87,,35-2021,Food Preparation Workers,,,,,,
509,0.87,,47-2043,Floor Sanders and Finishers,,,,,,
510,0.87,1,53-6021,Parking Lot Attendants,,,,,,
511,0.87,,47-4051,Highway Maintenance Workers,,,,,,
512,0.88,,47-2061,Construction Laborers,,,,,,
513,0.88,,43-5061,"Production, Planning, and Expediting Clerks",,,,,,
514,0.88,,51-9141,Semiconductor Processors,,,,,,
515,0.88,,17-1021,Cartographers and Photogrammetrists,,,,,,
516,0.88,,51-4051,Metal-Refining Furnace Operators and Tenders,,,,,,
517,0.88,,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",,,,,,
518,0.88,,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",,,,,,
519,0.88,,47-2053,Terrazzo Workers and Finishers,,,,,,
520,0.88,,51-4194,"Tool Grinders, Filers, and Sharpeners",,,,,,
521,0.88,,49-3043,Rail Car Repairers,,,,,,
522,0.89,,51-3011,Bakers,,,,,,
523,0.89,1,31-9094,Medical Transcriptionists,,,,,,
524,0.89,,47-2022,Stonemasons,,,,,,
525,0.89,,53-3022,"Bus Drivers, School or Special Client",,,,,,
526,0.89,1,27-3042,Technical Writers,,,,,,
527,0.89,,49-9096,Riggers,,,,,,
528,0.89,,47-4061,Rail-Track Laying and Maintenance Equipment Operators,,,,,,
529,0.89,,51-8021,Stationary Engineers and Boiler Operators,,,,,,
530,0.89,1,51-6031,Sewing Machine Operators,,,,,,
531,0.89,1,53-3041,Taxi Drivers and Chauffeurs,,,,,,
532,0.9,1,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",,,,,,
533,0.9,,29-2011,Medical and Clinical Laboratory Technologists,,,,,,
534,0.9,,47-2171,Reinforcing Iron and Rebar Workers,,,,,,
535,0.9,,47-2181,Roofers,,,,,,
536,0.9,,53-7021,Crane and Tower Operators,,,,,,
537,0.9,,53-6041,Traffic Technicians,,,,,,
538,0.9,,53-6051,Transportation Inspectors,,,,,,
539,0.9,,51-4062,"Patternmakers, Metal and Plastic",,,,,,
540,0.9,,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",,,,,,
541,0.9,,13-2021,Appraisers and Assessors of Real Estate,,,,,,
542,0.9,,53-7072,"Pump Operators, Except Wellhead Pumpers",,,,,,
543,0.9,,49-9097,Signal and Track Switch Repairers,,,,,,
544,0.91,,39-3012,Gaming and Sports Book Writers and Runners,,,,,,
545,0.91,,49-9063,Musical Instrument Repairers and Tuners,,,,,,
546,0.91,,39-7011,Tour Guides and Escorts,,,,,,
547,0.91,,49-9011,Mechanical Door Repairers,,,,,,
548,0.91,,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",,,,,,
549,0.91,,53-7071,Gas Compressor and Gas Pumping Station Operators,,,,,,
550,0.91,,29-2071,Medical Records and Health Information Technicians,,,,,,
551,0.91,,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",,,,,,
552,0.91,,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",,,,,,
553,0.91,,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",,,,,,
554,0.91,,49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",,,,,,
555,0.91,,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,,,,,,
556,0.91,,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",,,,,,
557,0.91,,19-4041,Geological and Petroleum Technicians,,,,,,
558,0.91,,49-3021,Automotive Body and Related Repairers,,,,,,
559,0.91,,51-7032,"Patternmakers, Wood",,,,,,
560,0.91,,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",,,,,,
561,0.92,,43-9071,"Office Machine Operators, Except Computer",,,,,,
562,0.92,,29-2052,Pharmacy Technicians,,,,,,
563,0.92,,43-4131,Loan Interviewers and Clerks,,,,,,
564,0.92,,53-7031,Dredge Operators,,,,,,
565,0.92,,41-3021,Insurance Sales Agents,,,,,,
566,0.92,,51-7011,Cabinetmakers and Bench Carpenters,,,,,,
567,0.92,,51-9123,"Painting, Coating, and Decorating Workers",,,,,,
568,0.92,,47-4031,Fence Erectors,,,,,,
569,0.92,,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",,,,,,
570,0.92,,41-2031,Retail Salespersons,,,,,,
571,0.92,,35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",,,,,,
572,0.92,,51-9399,"Production Workers, All Other",,,,,,
573,0.92,,47-3012,Helpers-Carpenters,,,,,,
574,0.93,,51-9193,Cooling and Freezing Equipment Operators and Tenders,,,,,,
575,0.93,,51-2091,Fiberglass Laminators and Fabricators,,,,,,
576,0.93,,47-5013,"Service Unit Operators, Oil, Gas, and Mining",,,,,,
577,0.93,,53-7011,Conveyor Operators and Tenders,,,,,,
578,0.93,,49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,,,,,,
579,0.93,,53-4012,Locomotive Firers,,,,,,
580,0.93,,53-7063,Machine Feeders and Offbearers,,,,,,
581,0.93,,51-4061,"Model Makers, Metal and Plastic",,,,,,
582,0.93,,49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairs",,,,,,
583,0.93,,51-3021,Butchers and Meat Cutters,,,,,,
584,0.93,,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",,,,,,
585,0.93,,53-7081,Refuse and Recyclable Material Collectors,,,,,,
586,0.93,1,13-2081,"Tax Examiners and Collectors, and Revenue Agents",,,,,,
587,0.93,,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",,,,,,
588,0.93,1,53-7051,Industrial Truck and Tractor Operators,,,,,,
589,0.94,1,13-2011,Accountants and Auditors,,,,,,
590,0.94,,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",,,,,,
591,0.94,,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",,,,,,
592,0.94,0,35-3031,Waiters and Waitresses,,,,,,
593,0.94,,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",,,,,,
594,0.94,,13-2031,Budget Analysts,,,,,,
595,0.94,,47-2051,Cement Masons and Concrete Finishers,,,,,,
596,0.94,,49-3091,Bicycle Repairers,,,,,,
597,0.94,,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",,,,,,
598,0.94,,51-4121,"Welders, Cutters, Solderers, and Brazers",,,,,,
599,0.94,1,43-5021,Couriers and Messengers,,,,,,
600,0.94,,43-4111,"Interviewers, Except Eligibility and Loan",,,,,,
601,0.94,,35-2015,"Cooks, Short Order",,,,,,
602,0.94,,53-7032,Excavating and Loading Machine and Dragline Operators,,,,,,
603,0.94,,47-3014,"Helpers-Painters, Paperhangers, Plasterers, and Stucco Masons",,,,,,
604,0.94,,43-4081,"Hotel, Motel, and Resort Desk Clerks",,,,,,
605,0.94,,51-9197,Tire Builders,,,,,,
606,0.94,,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related
Workers",,,,,,
607,0.94,,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,,,,,,
608,0.94,,45-2011,Agricultural Inspectors,,,,,,
609,0.94,1,23-2011,Paralegals and Legal Assistants,,,,,,
610,0.95,,39-5092,Manicurists and Pedicurists,,,,,,
611,0.95,,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",,,,,,
612,0.95,,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",,,,,,
613,0.95,,43-3011,Bill and Account Collectors,,,,,,
614,0.95,,51-8011,Nuclear Power Reactor Operators,,,,,,
615,0.95,,33-9031,Gaming Surveillance Officers and Gaming Investigators,,,,,,
616,0.95,,43-4121,"Library Assistants, Clerical",,,,,,
617,0.95,,47-2073,Operating Engineers and Other Construction Equipment Operators,,,,,,
618,0.95,,51-5113,Print Binding and Finishing Workers,,,,,,
619,0.95,,45-2021,Animal Breeders,,,,,,
620,0.95,,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",,,,,,
621,0.95,1,51-2022,Electrical and Electronic Equipment Assemblers,,,,,,
622,0.95,,51-9191,Adhesive Bonding Machine Operators and Tenders,,,,,,
623,0.95,,37-3011,Landscaping and Groundskeeping Workers,,,,,,
624,0.95,,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",,,,,,
625,0.95,,43-5051,Postal Service Clerks,,,,,,
626,0.95,,51-9071,Jewelers and Precious Stone and Metal Workers,,,,,,
627,0.96,,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",,,,,,
628,0.96,,43-4171,Receptionists and Information Clerks,,,,,,
629,0.96,,43-9061,"Office Clerks, General",,,,,,
630,0.96,,11-3111,Compensation and Benefits Managers,,,,,,
631,0.96,1,43-2011,"Switchboard Operators, Including Answering Service",,,,,,
632,0.96,,35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",,,,,,
633,0.96,,47-5051,"Rock Splitters, Quarry",,,,,,
634,0.96,,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",,,,,,
635,0.96,,17-3031,Surveying and Mapping Technicians,,,,,,
636,0.96,,51-7031,"Model Makers, Wood",,,,,,
637,0.96,,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",,,,,,
638,0.96,,53-4011,Locomotive Engineers,,,,,,
639,0.96,1,39-3011,Gaming Dealers,,,,,,
640,0.96,,49-9093,"Fabric Menders, Except Garment",,,,,,
641,0.96,,35-2014,"Cooks, Restaurant",,,,,,
642,0.96,,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",,,,,,
643,0.96,,43-3021,Billing and Posting Clerks,,,,,,
644,0.97,,53-6011,Bridge and Lock Tenders,,,,,,
645,0.97,,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",,,,,,
646,0.97,,51-2092,Team Assemblers,,,,,,
647,0.97,,51-6042,Shoe Machine Operators and Tenders,,,,,,
648,0.97,,51-2023,Electromechanical Equipment Assemblers,,,,,,
649,0.97,1,13-1074,Farm Labor Contractors,,,,,,
650,0.97,,51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,,,,,,
651,0.97,,51-9081,Dental Laboratory Technicians,,,,,,
652,0.97,,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",,,,,,
653,0.97,,51-9022,"Grinding and Polishing Workers, Hand",,,,,,
654,0.97,,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",,,,,,
655,0.97,,45-4023,Log Graders and Scalers,,,,,,
656,0.97,,51-9083,Ophthalmic Laboratory Technicians,,,,,,
657,0.97,1,41-2011,Cashiers,,,,,,
658,0.97,,49-9061,Camera and Photographic Equipment Repairers,,,,,,
659,0.97,,39-3021,Motion Picture Projectionists,,,,,,
660,0.97,,51-5111,Prepress Technicians and Workers,,,,,,
661,0.97,,41-2021,Counter and Rental Clerks,,,,,,
662,0.97,1,43-4071,File Clerks,,,,,,
663,0.97,,41-9021,Real Estate Brokers,,,,,,
664,0.97,,43-2021,Telephone Operators,,,,,,
665,0.97,,19-4011,Agricultural and Food Science Technicians,,,,,,
666,0.97,,43-3051,Payroll and Timekeeping Clerks,,,,,,
667,0.97,1,43-4041,"Credit Authorizers, Checkers, and Clerks",,,,,,
668,0.97,,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",,,,,,
669,0.98,,41-9012,Models,,,,,,
670,0.98,,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",,,,,,
671,0.98,,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",,,,,,
672,0.98,,43-6012,Legal Secretaries,,,,,,
673,0.98,,27-4013,Radio Operators,,,,,,
674,0.98,,53-3031,Driver/Sales Workers,,,,,,
675,0.98,1,13-1031,"Claims Adjusters, Examiners, and Investigators",,,,,,
676,0.98,,41-2022,Parts Salespersons,,,,,,
677,0.98,1,13-2041,Credit Analysts,,,,,,
678,0.98,,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",,,,,,
679,0.98,,43-5071,"Shipping, Receiving, and Traffic Clerks",,,,,,
680,0.98,,43-3061,Procurement Clerks,,,,,,
681,0.98,,51-9111,Packaging and Filling Machine Operators and Tenders,,,,,,
682,0.98,,51-9194,Etchers and Engravers,,,,,,
683,0.98,,43-3071,Tellers,,,,,,
684,0.98,,27-2023,"Umpires, Referees, and Other Sports Officials",,,,,,
685,0.98,,13-1032,"Insurance Appraisers, Auto Damage",,,,,,
686,0.98,1,13-2072,Loan Officers,,,,,,
687,0.98,,43-4151,Order Clerks,,,,,,
688,0.98,,43-4011,Brokerage Clerks,,,,,,
689,0.98,,43-9041,Insurance Claims and Policy Processing Clerks,,,,,,
690,0.98,,51-2093,Timing Device Assemblers and Adjusters,,,,,,
691,0.99,1,43-9021,Data Entry Keyers,,,,,,
692,0.99,,25-4031,Library Technicians,,,,,,
693,0.99,,43-4141,New Accounts Clerks,,,,,,
694,0.99,,51-9151,Photographic Process Workers and Processing Machine Operators,,,,,,
695,0.99,,13-2082,Tax Preparers,,,,,,
696,0.99,,43-5011,Cargo and Freight Agents,,,,,,
697,0.99,,49-9064,Watch Repairers,,,,,,
698,0.99,1,13-2053,Insurance Underwriters,,,,,,
699,0.99,,15-2091,Mathematical Technicians,,,,,,
700,0.99,,51-6051,"Sewers, Hand",,,,,,
701,0.99,,23-2093,"Title Examiners, Abstractors, and Searchers",,,,,,
702,0.99,,41-9041,Telemarketers,,,,,,